A1	A2	A3	B1	B2	B3
0.00861214	0.00874614	0.00827311	0.00243313	0.00173906	0.00173305
0.02697451	0.03002034	0.02657471	0.00894973	0.01291258	0.00943457
2.11582723	2.11533357	2.15163454	3.91501304	3.98488495	3.85148424
0.19717015	0.20006486	0.16114559	0.20754716	0.20064787	0.20932326
0.11647166	0.11893005	0.10562144	0.05929733	0.06412231	0.06543316
0.77967947	0.81196767	0.84168829	0.19767007	0.18878568	0.19459311
7.14649084	6.76277218	7.65979056	4.25443129	4.47529071	4.28752428
0.03583197	0.03379283	0.03350158	0.00032397	0.0005202	0.00037935
0.00447435	0.0043205	0.00412419	0.88969014	0.93208187	0.94606953
0.65991236	0.66509412	0.68998497	0.09392615	0.09248567	0.08682993
0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397
0.00290877	0.00230564	0.00222109	0.46515301	0.47452726	0.47124201
0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397
0.00042771	0.00042771	0.00042771	0.0007457	0.00079083	0.0006194
1.10256154	1.06405954	1.07379387	0.14390823	0.13963405	0.14414066
0.01983119	0.02260484	0.02173581	0.01964999	0.02019711	0.02141668
0.14471768	0.14403576	0.14780878	0.06763357	0.07137554	0.06814108
0.35958878	0.36811576	0.3712584	0.22673551	0.22015135	0.21279514
0.05988845	0.06483264	0.06332949	0.02671003	0.02926226	0.03141666
0.53116734	0.55068701	0.59118824	0.01010352	0.01169963	0.00968967
0.14942418	0.1463118	0.14968676	0.11474273	0.10106245	0.1142901
0.00195132	0.00127365	0.00218162	0.00090285	0.0011517	0.00081415
0.47551756	0.47575182	0.49999449	0.32182456	0.35480452	0.35957688
0.43332903	0.45347894	0.4790904	0.43597107	0.42413341	0.44590463
0.17297854	0.17450314	0.17292459	0.02712888	0.02731545	0.02547608
0.00566978	0.00512257	0.00486789	0.00032397	0.00032397	0.00032397
1.234896	1.32509476	1.31530151	0.10887709	0.10305162	0.12282173
0.00046256	0.00043538	0.00042771	0.00032397	0.00032397	0.00032397
0.00042771	0.00042771	0.00074602	0.00058518	0.00045026	0.00059613
0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397
0.00042771	0.00042771	0.00042771	0.00254646	0.00245239	0.00253857
0.59298581	0.62408171	0.64462028	0.43987259	0.40459083	0.45671994
0.01382586	0.01500025	0.01614514	0.09520838	0.08679268	0.08642198
3.99925977	3.80410043	4.02333268	2.07623642	2.14438205	2.18051684
0.00042771	0.00042771	0.00042771	0.00159522	0.00167039	0.00035347
0.43174243	0.43102648	0.43496541	0.00033957	0.00032397	0.00032397
0.26369925	0.30037884	0.26971666	1.10143584	1.06654985	1.09739686
0.00485981	0.00373978	0.00424626	0.00032397	0.00032397	0.00032397
1.14852541	1.25828486	1.15073431	0.43550714	0.44942111	0.43344811
0.02106009	0.02039316	0.02229076	0.44667124	0.4369196	0.45801668
1.00560813	0.93198152	1.05098331	1.07452217	0.96616944	0.99108315
0.74903802	0.77035115	0.79098397	0.01298257	0.01452781	0.01389984
0.00152785	0.00194621	0.00177545	0.13737523	0.13998378	0.14637988
